Process	PID	CPU	Image Type	User Name	Description	Company Name	Private Bytes History	Private Bytes	Working Set	Command Line	Start Time
klnagent.exe	9168	0.07	32-bit	NT AUTHORITY\SYSTEM	Kaspersky Administration Kit Network Agent	Kaspersky Lab ZAO		18,868 K	4,628 K	"C:\Program Files (x86)\Kaspersky Lab\NetworkAgent 8\klnagent.exe" -rcvr_loadconnector "b27273b9-e565-447d-8cd6-fc3fb025814f" -rcvr_product "KAVWKS6" -rcvr_version "6.0.4.0" 	6:40:59 PM 07/11/2014
taskeng.exe	2184		64-bit	CORPORATE\agoenka	Task Scheduler Engine	Microsoft Corporation		3,100 K	4,608 K	taskeng.exe {7A4CFD05-80C0-49BD-84DD-D37BD608D03D}	7:38:29 AM 07/11/2014
inetinfo.exe	2492		64-bit	NT AUTHORITY\SYSTEM	Internet Information Services	Microsoft Corporation		14,000 K	4,592 K	C:\windows\system32\inetsrv\inetinfo.exe	7:38:28 AM 07/11/2014
igfxtray.exe	3436		64-bit	CORPORATE\agoenka	igfxTray Module	Intel Corporation		3,648 K	4,512 K	"C:\Windows\System32\igfxtray.exe" 	7:38:30 AM 07/11/2014
tphkload.exe	1960		64-bit	NT AUTHORITY\SYSTEM	ThinkPad Message Client Loader	Lenovo Group Limited		9,752 K	4,456 K	"C:\Program Files\LENOVO\HOTKEY\TPHKLOAD.exe"	7:38:27 AM 07/11/2014
WmiPrvSE.exe	6692		32-bit	NT AUTHORITY\SYSTEM	WMI Provider Host	Microsoft Corporation		3,936 K	4,384 K	C:\windows\sysWOW64\wbem\wmiprvse.exe	7:41:12 AM 07/11/2014
TPHKSVC.exe	1980		32-bit	NT AUTHORITY\SYSTEM	On screen display Fn+Fx handler	Lenovo Group Limited		2,736 K	4,332 K	"C:\Program Files\LENOVO\HOTKEY\TPHKSVC.exe"	7:38:27 AM 07/11/2014
WmiPrvSE.exe	7596		32-bit	NT AUTHORITY\SYSTEM	WMI Provider Host	Microsoft Corporation		5,760 K	4,268 K	C:\windows\sysWOW64\wbem\wmiprvse.exe	7:40:11 AM 07/11/2014
svchost.exe	7360		64-bit	NT AUTHORITY\NETWORK SERVICE	Host Process for Windows Services	Microsoft Corporation		3,536 K	4,188 K	C:\windows\system32\svchost.exe -k NetworkServiceNetworkRestricted	7:40:11 AM 07/11/2014
winlogon.exe	1088		64-bit	NT AUTHORITY\SYSTEM	Windows Logon Application	Microsoft Corporation		3,972 K	4,124 K	winlogon.exe	7:38:26 AM 07/11/2014
TPONSCR.exe	5632		32-bit	CORPORATE\agoenka	On screen display drawer	Lenovo Group Limited		3,184 K	3,952 K	C:\PROGRA~1\Lenovo\HOTKEY\TPONSCR.EXE /UEFI\\.\pipe\{C6A9690C-33AE-4a55-8B65-9498CC0A7B34}.OnScreenDisplay	7:38:36 AM 07/11/2014
daemonu.exe	4984	< 0.01	32-bit	GOENKA-A-W7N1\UpdatusUser	NVIDIA Settings Update Manager	NVIDIA Corporation		5,968 K	3,952 K	"C:\Program Files (x86)\NVIDIA Corporation\NVIDIA Update Core\daemonu.exe"	7:42:10 AM 07/11/2014
svchost.exe	5184		64-bit	NT AUTHORITY\SYSTEM	Host Process for Windows Services	Microsoft Corporation		8,428 K	3,828 K	C:\windows\system32\svchost.exe -k iissvcs	7:38:35 AM 07/11/2014
IpOverUsbSvc.exe	2528	< 0.01	32-bit	NT AUTHORITY\SYSTEM	 	Microsoft Corporation		8,988 K	3,780 K	"C:\Program Files (x86)\Common Files\Microsoft Shared\Phone Tools\CoreCon\11.0\bin\IpOverUsbSvc.exe"	7:38:28 AM 07/11/2014
hkcmd.exe	3468		64-bit	CORPORATE\agoenka	hkcmd Module	Intel Corporation		3,348 K	3,632 K	"C:\Windows\System32\hkcmd.exe" 	7:38:30 AM 07/11/2014
vmnat.exe	5104	< 0.01	32-bit	NT AUTHORITY\SYSTEM	VMware NAT Service	VMware, Inc.		2,296 K	3,324 K	C:\windows\SysWOW64\vmnat.exe	7:38:34 AM 07/11/2014
RssControlZ0.exe	8468	< 0.01	32-bit	CORPORATE\agoenka				3,676 K	3,320 K	"C:\Users\agoenka\AppData\Local\Temp\SLinkSW\RssControlZ0.exe"  -tryadmin	9:13:04 AM 07/11/2014
fmstart.exe	3956	0.34	32-bit	CORPORATE\agoenka	fmstart	GFI Software Ltd		2,088 K	3,196 K	"C:\Program Files (x86)\GFI\FAXmaker Client\fmstart.exe" 	7:38:31 AM 07/11/2014
TpScrex.exe	5888		32-bit	CORPORATE\agoenka	ThinkPad UltraZoom	Lenovo Group Limited		3,140 K	3,184 K	C:\PROGRA~1\Lenovo\Zoom\TPSCREX.EXE /UEFI\\.\pipe\{C6A9690C-33AE-4a55-8B65-9498CC0A7B34}.FullScreenMagnifier	7:38:36 AM 07/11/2014
micmute.exe	2692		32-bit	NT AUTHORITY\SYSTEM	Microphone Mute Controll Service for ThinkPad	Lenovo Group Limited		7,236 K	3,136 K	"C:\Program Files\LENOVO\HOTKEY\MICMUTE.exe"	7:38:28 AM 07/11/2014
tpnumlk.exe	680		64-bit	NT AUTHORITY\SYSTEM	NumLock indicator for ThinkPad	Lenovo Group Limited		3,680 K	3,088 K	C:\PROGRA~1\Lenovo\HOTKEY\tpnumlk.exe	7:38:27 AM 07/11/2014
svchost.exe	1696		64-bit	NT AUTHORITY\SYSTEM	Host Process for Windows Services	Microsoft Corporation		5,388 K	3,032 K	C:\windows\system32\svchost.exe -k apphost	7:38:27 AM 07/11/2014
DCSHelper.exe	3376		32-bit	CORPORATE\agoenka	DataCardMonitor MFC Application	Huawei Technologies Co., Ltd.		1,856 K	2,960 K	"C:\ProgramData\DatacardService\DCSHelper.exe"	7:38:30 AM 07/11/2014
vmware-usbarbitrator64.exe	5772	< 0.01	64-bit	NT AUTHORITY\SYSTEM	VMware USB Arbitration Service	VMware, Inc.		4,340 K	2,948 K	"C:\Program Files (x86)\Common Files\VMware\USB\vmware-usbarbitrator64.exe"	7:38:35 AM 07/11/2014
csrss.exe	560		64-bit	NT AUTHORITY\SYSTEM	Client Server Runtime Process	Microsoft Corporation		3,304 K	2,932 K	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=winsrv:ConServerDllInitialization,2 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16	7:38:19 AM 07/11/2014
RDDService.exe	3232	< 0.01	32-bit	NT AUTHORITY\SYSTEM	PGP Universal RDD Client Service	Symantec Corporation		3,124 K	2,768 K	"C:\Program Files (x86)\PGP Corporation\PGP Desktop\RDDService.exe"	7:38:29 AM 07/11/2014
redirector.exe	4028		32-bit	CORPORATE\agoenka	Citrix FTA, URL Redirector	Citrix Systems, Inc.		2,088 K	2,724 K	"C:\Program Files (x86)\Citrix\ICA Client\redirector.exe" /startup	7:38:31 AM 07/11/2014
vmnetdhcp.exe	5748	< 0.01	32-bit	NT AUTHORITY\SYSTEM	VMware VMnet DHCP service	VMware, Inc.		7,956 K	2,712 K	C:\windows\SysWOW64\vmnetdhcp.exe	7:38:35 AM 07/11/2014
splwow64.exe	7976		64-bit	CORPORATE\agoenka	Print driver host for 32bit applications	Microsoft Corporation		4,184 K	2,688 K	C:\windows\splwow64.exe 12288	7:40:13 AM 07/11/2014
TscHelp.exe	4572		32-bit	CORPORATE\agoenka	TechSmith HTML Help Helper	TechSmith Corporation		1,532 K	2,632 K	"C:\Program Files (x86)\TechSmith\Snagit 9\TSCHelp.exe" 	7:38:33 AM 07/11/2014
svchost.exe	4880		64-bit	NT AUTHORITY\LOCAL SERVICE	Host Process for Windows Services	Microsoft Corporation		2,588 K	2,624 K	C:\windows\system32\svchost.exe -k imgsvc	7:38:34 AM 07/11/2014
msdtc.exe	7632	< 0.01	64-bit	NT AUTHORITY\NETWORK SERVICE	Microsoft Distributed Transaction Coordinator Service	Microsoft Corporation		4,128 K	2,548 K	C:\windows\System32\msdtc.exe	7:40:19 AM 07/11/2014
unsecapp.exe	6004		64-bit	NT AUTHORITY\SYSTEM	Sink to receive asynchronous callbacks for WMI client application	Microsoft Corporation		2,344 K	2,520 K	C:\windows\system32\wbem\unsecapp.exe -Embedding	7:38:36 AM 07/11/2014
fmapp.exe	3500		64-bit	CORPORATE\agoenka	FMAPP Application			2,180 K	2,488 K	"C:\Program Files\CONEXANT\ForteConfig\fmapp.exe" 	7:38:30 AM 07/11/2014
TpKnrres.exe	3552	< 0.01	32-bit	CORPORATE\agoenka	Microphone volume control module	Lenovo Group Limited		1,500 K	2,484 K	"C:\Program Files\Lenovo\Communications Utility\TpKnrres.exe" 	7:38:30 AM 07/11/2014
sqlwriter.exe	4820		64-bit	NT AUTHORITY\SYSTEM	SQL Server VSS Writer - 64 Bit	Microsoft Corporation		2,680 K	2,428 K	"C:\Program Files\Microsoft SQL Server\90\Shared\sqlwriter.exe"	7:38:33 AM 07/11/2014
PGPcbt64.exe	3656		64-bit	CORPORATE\agoenka	PGP CBT Hook 64 Bit Executable	Symantec Corporation		1,992 K	2,388 K	"C:\Program Files (x86)\PGP Corporation\PGP Desktop\PGPcbt64.exe" 	7:38:36 AM 07/11/2014
ibmpmsvc.exe	908	< 0.01	64-bit	NT AUTHORITY\SYSTEM	ThinkPad Power Management Service	Lenovo.		1,932 K	2,328 K	C:\windows\system32\ibmpmsvc.exe	7:38:25 AM 07/11/2014
SkypeC2CPNRSvc.exe	2236	< 0.01	32-bit	NT AUTHORITY\NETWORK SERVICE	Phone Number Recognition (PNR) module	Microsoft Corporation		2,152 K	2,124 K	"C:\Program Files (x86)\Skype\Toolbars\PNRSvc\SkypeC2CPNRSvc.exe" /service	7:38:27 AM 07/11/2014
HWDeviceService64.exe	2444	< 0.01	64-bit	NT AUTHORITY\SYSTEM	DCSHOST			2,664 K	2,088 K	"C:\ProgramData\DatacardService\HWDeviceService64.exe" -/service	7:38:28 AM 07/11/2014
nvSCPAPISvr.exe	972	< 0.01	32-bit	NT AUTHORITY\SYSTEM	Stereo Vision Control Panel API Server	NVIDIA Corporation		2,824 K	2,036 K	"C:\Program Files (x86)\NVIDIA Corporation\3D Vision\nvSCPAPISvr.exe"	7:38:25 AM 07/11/2014
CxAudMsg64.exe	2320	< 0.01	64-bit	NT AUTHORITY\SYSTEM	Conexant Audio Message Service	Conexant Systems Inc.		6,588 K	2,020 K	C:\windows\system32\CxAudMsg64.exe	7:38:28 AM 07/11/2014
SASrv.exe	4696	< 0.01	32-bit	NT AUTHORITY\SYSTEM	SmartAudio Service Application	Conexant Systems, Inc.		1,624 K	1,996 K	C:\windows\SysWOW64\SAsrv.exe	7:38:33 AM 07/11/2014
CamMute.exe	2668		32-bit	NT AUTHORITY\SYSTEM	Camera Mute Control Service for ThinkPad	Lenovo Group Limited		1,920 K	1,996 K	"C:\Program Files\Lenovo\Communications Utility\CAMMUTE.exe"	7:38:28 AM 07/11/2014
SvcGuiHlpr.exe	7052		32-bit	NT AUTHORITY\SYSTEM	ThinkVantage Access Connections Service GUI helper Module	Lenovo		3,956 K	1,888 K	"C:\Program Files (x86)\Lenovo\Access Connections\SvcGuiHlpr.exe" /IpNotifyInstance	7:38:45 AM 07/11/2014
FCUpdateService.exe	2400	< 0.01	32-bit	NT AUTHORITY\SYSTEM	Foxit Cloud Safe Update Service	Foxit Corporation		1,420 K	1,844 K	"C:\PROGRAM FILES (X86)\FOXIT SOFTWARE\FOXIT READER\Foxit Cloud\FCUpdateService.exe"	7:38:28 AM 07/11/2014
armsvc.exe	1128	< 0.01	32-bit	NT AUTHORITY\SYSTEM	Adobe Acrobat Update Service	Adobe Systems Incorporated		1,656 K	1,840 K	"C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe"	7:38:27 AM 07/11/2014
ONENOTEM.EXE	1476		64-bit	CORPORATE\agoenka	Send to OneNote Tool	Microsoft Corporation		2,524 K	1,808 K	"C:\Program Files\Microsoft Office\Office15\ONENOTEM.EXE" /tsr	7:38:32 AM 07/11/2014
svchost.exe	3192	< 0.01	64-bit	NT AUTHORITY\LOCAL SERVICE	Host Process for Windows Services	Microsoft Corporation		1,884 K	1,792 K	C:\windows\System32\svchost.exe -k HPZ12	7:38:29 AM 07/11/2014
svchost.exe	3272	< 0.01	64-bit	NT AUTHORITY\LOCAL SERVICE	Host Process for Windows Services	Microsoft Corporation		1,852 K	1,784 K	C:\windows\System32\svchost.exe -k HPZ12	7:38:29 AM 07/11/2014
TPKNRSVC.exe	2716		32-bit	NT AUTHORITY\SYSTEM	Microphone volume control service	Lenovo Group Limited		1,500 K	1,628 K	"C:\Program Files\Lenovo\Communications Utility\TPKNRSVC.exe"	7:38:28 AM 07/11/2014
SnagPriv.exe	4596		32-bit	CORPORATE\agoenka	Snagit RPC Helper	TechSmith Corporation		1,812 K	1,488 K	"C:\Program Files (x86)\TechSmith\Snagit 9\SnagPriv.exe" 	7:38:33 AM 07/11/2014
rundll32.exe	5728		64-bit	NT AUTHORITY\SYSTEM	Windows host process (Rundll32)	Microsoft Corporation		2,148 K	1,460 K	C:\windows\system32\rundll32.exe "C:\Program Files\LENOVO\HOTKEY\hotkey.dll",InstallAudioHotkeyHook	7:38:36 AM 07/11/2014
SynTPLpr.exe	6596		64-bit	CORPORATE\agoenka	TouchPad Driver Helper Application	Synaptics Incorporated		3,056 K	1,456 K	"C:\Program Files\Synaptics\SynTP\SynTPLpr.exe"	7:38:56 AM 07/11/2014
SynTPHelper.exe	6704		64-bit	CORPORATE\agoenka	Synaptics Pointing Device Helper	Synaptics Incorporated		2,104 K	1,384 K	"C:\PROGRAM FILES\SYNAPTICS\SYNTP\SYNTPHELPER.EXE" 	7:38:41 AM 07/11/2014
System	4	0.43	64-bit	NT AUTHORITY\SYSTEM				160 K	1,160 K		7:38:12 AM 07/11/2014
wininit.exe	656		64-bit	NT AUTHORITY\SYSTEM	Windows Start-Up Application	Microsoft Corporation		2,236 K	1,076 K	wininit.exe	7:38:25 AM 07/11/2014
jusched.exe	3972		32-bit	CORPORATE\agoenka	Java(TM) Update Scheduler	Oracle Corporation		1,456 K	992 K	"C:\Program Files (x86)\Common Files\Java\Java Update\jusched.exe" 	7:38:31 AM 07/11/2014
smss.exe	420		64-bit	NT AUTHORITY\SYSTEM	Windows Session Manager	Microsoft Corporation		584 K	796 K	\SystemRoot\System32\smss.exe	7:38:12 AM 07/11/2014
System Idle Process	0	84.37	64-bit	NT AUTHORITY\SYSTEM				0 K	24 K		n/a
Interrupts	n/a	0.52	64-bit		Hardware Interrupts and DPCs			0 K	0 K		7:38:12 AM 07/11/2014

Process: sqlservr.exe Pid: 2864

Base	Image Base	Mapping	Name	Description	Company Name	Version
0x7FEFD370000	0x7FEFD370000	Image	advapi32.dll	Advanced Windows 32 Base API	Microsoft Corporation	6.1.7600.16385
0x7FEFF390000	0x0	Image	apisetschema.dll	ApiSet Schema DLL	Microsoft Corporation	6.1.7601.18229
0x7FEFC800000	0x7FEFC800000	Image	authz.dll	Authorization Framework	Microsoft Corporation	6.1.7600.16385
0x6C6A0000	0x6C6A0000	Image	batchparser.dll	Batch Parser	Microsoft Corporation	2011.110.2100.60
0x7FEFC780000	0x7FEFC780000	Image	bcrypt.dll	Windows Cryptographic Primitives Library	Microsoft Corporation	6.1.7600.16385
0x7FEFC270000	0x7FEFC270000	Image	bcryptprimitives.dll	Windows Cryptographic Primitives Library	Microsoft Corporation	6.1.7601.17514
0x4700000	0x0	Data	C_1250.NLS			
0x4720000	0x0	Data	C_1251.NLS			
0x4740000	0x0	Data	C_1253.NLS			
0x4760000	0x0	Data	C_1254.NLS			
0x4780000	0x0	Data	C_1255.NLS			
0x47A0000	0x0	Data	C_1256.NLS			
0x47C0000	0x0	Data	C_1257.NLS			
0x4AC0000	0x0	Data	C_1258.NLS			
0x46E0000	0x0	Data	C_850.NLS			
0x4AA0000	0x0	Data	C_874.NLS			
0x4AE0000	0x0	Data	C_932.NLS			
0x4A60000	0x0	Data	C_936.NLS			
0x49E0000	0x0	Data	C_949.NLS			
0x4A20000	0x0	Data	C_950.NLS			
0x7FEFD280000	0x7FEFD280000	Image	clbcatq.dll	COM+ Configuration Catalog	Microsoft Corporation	2001.12.8530.16385
0x7FEEDC00000	0x7FEEDC00000	Image	clr.dll	Microsoft .NET Runtime Common Language Runtime - WorkStation	Microsoft Corporation	4.0.30319.18444
0x7FEE7AE0000	0x7FEE7AE0000	Image	clrjit.dll	Microsoft .NET Runtime Just-In-Time Compiler	Microsoft Corporation	4.0.30319.18444
0x7FEEABA0000	0x7FEEABA0000	Image	clusapi.dll	Cluster API Library	Microsoft Corporation	6.1.7601.17514
0x7FEF9570000	0x7FEF9570000	Image	comctl32.dll	User Experience Controls Library	Microsoft Corporation	5.82.7601.18201
0x7FEFF170000	0x7FEFF170000	Image	comdlg32.dll	Common Dialogs DLL	Microsoft Corporation	6.1.7601.17514
0x7FEFC200000	0x7FEFC200000	Image	credssp.dll	Credential Delegation Security Package	Microsoft Corporation	6.1.7601.18409
0x7FEFD000000	0x7FEFD000000	Image	crypt32.dll	Crypto API32	Microsoft Corporation	6.1.7601.18277
0x7FEFCC50000	0x7FEFCC50000	Image	cryptbase.dll	Base cryptographic API DLL	Microsoft Corporation	6.1.7600.16385
0x7FEFC900000	0x7FEFC900000	Image	cryptdll.dll	Cryptography Manager	Microsoft Corporation	6.1.7600.16385
0x7FEF8620000	0x7FEF8620000	Image	cryptnet.dll	Crypto Network Related API	Microsoft Corporation	6.1.7601.18205
0x7FEFC6F0000	0x7FEFC6F0000	Image	cryptsp.dll	Cryptographic Service Provider API	Microsoft Corporation	6.1.7600.16385
0x7FEF1F70000	0x7FEF1F70000	Image	cscapi.dll	Offline Files Win32 API	Microsoft Corporation	6.1.7601.17514
0x7FEFF080000	0x7FEFF080000	Image	gdi32.dll	GDI Client DLL	Microsoft Corporation	6.1.7601.18275
0x7FEFC0B0000	0x7FEFC0B0000	Image	gpapi.dll	Group Policy Client API	Microsoft Corporation	6.1.7600.16385
0x7FEFDE40000	0x7FEFDE40000	Image	imagehlp.dll	Windows NT Image Helper	Microsoft Corporation	6.1.7601.17787
0x7FEFEF10000	0x7FEFEF10000	Image	imm32.dll	Multi-User Windows IMM32 API Client DLL	Microsoft Corporation	6.1.7600.16385
0x7FEF19D0000	0x7FEF19D0000	Image	instapi110.dll	SQL Server Instance API DLL	Microsoft Corporation	2011.110.2100.60
0x7FEFC5A0000	0x7FEFC5A0000	Image	kerberos.dll	Kerberos Security Package	Microsoft Corporation	6.1.7601.18409
0x76E50000	0x76E50000	Image	kernel32.dll	Windows NT BASE API Client DLL	Microsoft Corporation	6.1.7601.18409
0x7FEFCF60000	0x7FEFCF60000	Image	KernelBase.dll	Windows NT BASE API Client DLL	Microsoft Corporation	6.1.7601.18409
0x60000	0x0	Data	locale.nls			
0x7FEFC400000	0x7FEFC400000	Image	logoncli.dll	Net Logon Client DLL	Microsoft Corporation	6.1.7601.17514
0x7FEFF210000	0x7FEFF210000	Image	lpk.dll	Language Pack	Microsoft Corporation	6.1.7601.18177
0x7FEFCEC0000	0x7FEFCEC0000	Image	msasn1.dll	ASN.1 Runtime APIs	Microsoft Corporation	6.1.7601.17514
0x7FEF0C60000	0x7FEF0C60000	Image	mscoree.dll	Microsoft .NET Runtime Execution Engine	Microsoft Corporation	4.0.40305.0
0x7FEF0BC0000	0x7FEF0BC0000	Image	mscoreei.dll	Microsoft .NET Runtime Execution Engine	Microsoft Corporation	4.0.30319.18408
0x7FEE7D10000	0x7FEE7D10000	Image	mscorlib.ni.dll	Microsoft Common Language Runtime Class Library	Microsoft Corporation	4.0.30319.18444
0x7FEFDB20000	0x7FEFDB20000	Image	msctf.dll	MSCTF Server DLL	Microsoft Corporation	6.1.7600.16385
0x7FEFC540000	0x7FEFC540000	Image	msv1_0.dll	Microsoft Authentication Package v1.0	Microsoft Corporation	6.1.7601.18409
0x6ED30000	0x6ED30000	Image	msvcp100.dll	Microsoft® C Runtime Library	Microsoft Corporation	10.0.40219.325
0x714A0000	0x714A0000	Image	msvcr100.dll	Microsoft® C Runtime Library	Microsoft Corporation	10.0.40219.325
0x7FEEDB20000	0x7FEEDB20000	Image	msvcr110_clr0400.dll	Microsoft® C Runtime Library	Microsoft Corporation	11.0.50938.18408
0x7FEFEFC0000	0x7FEFEFC0000	Image	msvcrt.dll	Windows NT CRT DLL	Microsoft Corporation	7.0.7601.17744
0x7FEFC690000	0x7FEFC690000	Image	mswsock.dll	Microsoft Windows Sockets 2.0 Service Provider	Microsoft Corporation	6.1.7601.17514
0x7FEFC7B0000	0x7FEFC7B0000	Image	ncrypt.dll	Windows cryptographic library	Microsoft Corporation	6.1.7601.18270
0x7FEFA680000	0x7FEFA680000	Image	netapi32.dll	Net Win32 API DLL	Microsoft Corporation	6.1.7601.17887
0x7FEEAB30000	0x7FEEAB30000	Image	netbios.dll	NetBIOS Interface Library	Microsoft Corporation	6.1.7600.16385
0x7FEFC850000	0x7FEFC850000	Image	netutils.dll	Net Win32 API Helpers DLL	Microsoft Corporation	6.1.7601.17514
0x7FEE7C20000	0x7FEE7C20000	Image	nlssorting.dll	Microsoft Collation Support	Microsoft Corporation	4.0.30319.18408
0x7FEFE040000	0x7FEFE040000	Image	nsi.dll	NSI User-mode interface DLL	Microsoft Corporation	6.1.7600.16385
0x77070000	0x77070000	Image	ntdll.dll	NT Layer DLL	Microsoft Corporation	6.1.7601.18229
0x7FEE7AB0000	0x7FEE7AB0000	Image	ntdsapi.dll	Active Directory Domain Services API	Microsoft Corporation	6.1.7600.16385
0x7FEFBCE0000	0x7FEFBCE0000	Image	ntmarta.dll	Windows NT MARTA provider	Microsoft Corporation	6.1.7600.16385
0x7FEFD910000	0x7FEFD910000	Image	ole32.dll	Microsoft OLE for Windows	Microsoft Corporation	6.1.7601.17514
0x7FEFDD00000	0x7FEFDD00000	Image	oleaut32.dll		Microsoft Corporation	6.1.7601.17676
0x715F0000	0x715F0000	Image	opends60.dll	SQL Open Data Services DLL	Microsoft Corporation	2011.110.2100.60
0x7FEF85D0000	0x7FEF85D0000	Image	pdh.dll	Windows Performance Data Helper DLL	Microsoft Corporation	6.1.7601.17514
0x7FEFBF90000	0x7FEFBF90000	Image	PGPlsp.dll	PGP Universal LSP	Symantec Corporation	10.2.1.4461
0x7FEFCED0000	0x7FEFCED0000	Image	profapi.dll	User Profile Basic API	Microsoft Corporation	6.1.7600.16385
0x77240000	0x77240000	Image	psapi.dll	Process Status Helper	Microsoft Corporation	6.1.7600.16385
0x7FEEAB40000	0x7FEEAB40000	Image	resutils.dll	Microsoft Cluster Resource Utility DLL	Microsoft Corporation	6.1.7600.16385
0x7FEFEDE0000	0x7FEFEDE0000	Image	rpcrt4.dll	Remote Procedure Call Runtime	Microsoft Corporation	6.1.7601.18205
0x7FEFC310000	0x7FEFC310000	Image	rsaenh.dll	Microsoft Enhanced Cryptographic Provider	Microsoft Corporation	6.1.7600.16385
0x7FEFCD80000	0x7FEFCD80000	Image	RssHookDLLx64Z.dll			
0x7FEFA640000	0x7FEFA640000	Image	samcli.dll	Security Accounts Manager Client DLL	Microsoft Corporation	6.1.7601.17514
0x7FEFC3A0000	0x7FEFC3A0000	Image	schannel.dll	TLS / SSL Security Provider	Microsoft Corporation	6.1.7601.18409
0x7FEFF060000	0x7FEFF060000	Image	sechost.dll	Host for SCM/SDDL/LSA Lookup APIs	Microsoft Corporation	6.1.7600.16385
0x7FEFCA50000	0x7FEFCA50000	Image	secur32.dll	Security Support Provider Interface	Microsoft Corporation	6.1.7601.18443
0x72430000	0x72430000	Image	security.dll	Security Support Provider Interface	Microsoft Corporation	6.1.7600.16385
0x7FEFE050000	0x7FEFE050000	Image	shell32.dll	Windows Shell Common Dll	Microsoft Corporation	6.1.7601.18429
0x7FEFF0F0000	0x7FEFF0F0000	Image	shlwapi.dll	Shell Light-weight Utility Library	Microsoft Corporation	6.1.7601.17514
0x1C030000	0x0	Data	sortdefault.nlp			
0x1180000	0x0	Data	SortDefault.nls			
0x5A40000	0x67610000	Image	sqlaccess.dll	SQL Server CLR Interop	Microsoft Corporation	2011.110.3000.0
0x67610000	0x0	Image	sqlaccess.dll	SQL Server CLR Interop	Microsoft Corporation	2011.110.3000.0
0x7FEF4C00000	0x7FEF4C00000	Image	sqldk.dll	SQL Server Windows NT - 64 Bit	Microsoft Corporation	2011.110.3000.0
0x6E000000	0x6E000000	Image	sqlevn70.rll	SQL Event Messages DLL	Microsoft Corporation	2011.110.3000.0
0x7FEF2B70000	0x7FEF2B70000	Image	sqllang.dll	SQL Server Windows NT - 64 Bit	Microsoft Corporation	2011.110.3000.0
0x7FEF5910000	0x7FEF5910000	Image	sqlmin.dll	SQL Server Windows NT - 64 Bit	Microsoft Corporation	2011.110.3000.0
0x696C0000	0x696C0000	Image	sqlncli11.dll	Microsoft SQL Server Native Client 11.0	Microsoft Corporation	2011.110.3000.0
0x6C6F0000	0x6C6F0000	Image	sqlnclir11.rll	Microsoft SQL Server Native Client 11.0	Microsoft Corporation	2011.110.2100.60
0x71600000	0x71600000	Image	sqlos.dll	SQLOS Hosting DLL	Microsoft Corporation	2011.110.3000.0
0xFFF80000	0xFFF80000	Image	sqlservr.exe	SQL Server Windows NT - 64 Bit	Microsoft Corporation	2011.110.3000.0
0x7FEF5080000	0x7FEF5080000	Image	sqltses.dll	SQL Server Windows NT - 64 Bit	Microsoft Corporation	2011.110.3000.0
0x7FEFC8D0000	0x7FEFC8D0000	Image	srvcli.dll	Server Service Client DLL	Microsoft Corporation	6.1.7601.17514
0x7FEFCC20000	0x7FEFCC20000	Image	sspicli.dll	Security Support Provider Interface	Microsoft Corporation	6.1.7601.18443
0x76F70000	0x76F70000	Image	user32.dll	Multi-User Windows USER API Client DLL	Microsoft Corporation	6.1.7601.17514
0x7FEFD170000	0x7FEFD170000	Image	userenv.dll	Userenv	Microsoft Corporation	6.1.7601.17514
0x7FEFDC30000	0x7FEFDC30000	Image	usp10.dll	Uniscribe Unicode script processor	Microsoft Corporation	1.626.7601.18454
0x7FEFBF80000	0x7FEFBF80000	Image	version.dll	Version Checking and File Installation Libraries	Microsoft Corporation	6.1.7600.16385
0x7FEF9940000	0x7FEF9940000	Image	winmm.dll	MCI API DLL	Microsoft Corporation	6.1.7600.16385
0x7FEFCEF0000	0x7FEFCEF0000	Image	wintrust.dll	Microsoft Trust Verification APIs	Microsoft Corporation	6.1.7601.18205
0x7FEFA660000	0x7FEFA660000	Image	wkscli.dll	Workstation Service Client DLL	Microsoft Corporation	6.1.7601.17514
0x7FEFDDE0000	0x7FEFDDE0000	Image	Wldap32.dll	Win32 LDAP API DLL	Microsoft Corporation	6.1.7601.17514
0x7FEFD320000	0x7FEFD320000	Image	ws2_32.dll	Windows Socket 2.0 32-Bit DLL	Microsoft Corporation	6.1.7601.17514
0x7FEFC680000	0x7FEFC680000	Image	wship6.dll	Winsock2 Helper DLL (TL/IPv6)	Microsoft Corporation	6.1.7600.16385
0x7FEFBF70000	0x7FEFBF70000	Image	WSHTCPIP.DLL	Winsock2 Helper DLL (TL/IPv4)	Microsoft Corporation	6.1.7600.16385
0x5DBC0000	0x5DBC0000	Image	xpsqlbot.dll	SQL Server Edition Settings Extended Stored Proc	Microsoft Corporation	2011.110.2100.60
